"V1","V2","V3"
-59.746,-38.454,0.57236
-58.11,-56.62,-12.561
-55.903,-62.534,-5.3637
-51.188,-61.047,2.896
-56.341,-45.859,4.3788
-55.861,-55.902,5.9468
-53.468,-49.674,10.784
-57.733,-15.101,-35.248
-39.875,-15.182,-32.335
-45.109,-14.389,-34.641
-50.377,-27.773,-28.251
-46.235,-37.543,-23.584
-25.919,-26.762,-25.125
-34.434,-19.187,-26.001
-29.927,-30.676,-11.847
-21,-23.624,-15.958
-27.224,-31.97,-17.541
-26.713,-38.524,-12.111
-34.486,-37.182,-13.536
-37.916,-37.811,-23.51
-43.508,-49.509,-21.906
-36.221,-28.234,-28.454
-27.139,-36.06,-20.229
-27.997,-47.377,-11.356
-34.829,-61.346,-16.138
-28.734,-59.669,-6.0335
-25.93,-60.973,-12.072
-27.936,-74.636,-13.711
-23.733,-80.446,-12.409
-33.266,-32.747,-6.2766
-25.7,-34.497,-7.5069
-22.209,-39.64,1.1458
-15.191,-42.57,-3.8678
-17.259,-34.847,-4.56
-17.566,-36.347,-12.797
-24.741,-44.239,-7.203
-13.642,-48.342,2.5123
-24.369,-55.066,5.4971
-20.788,-48.754,0.25781
-15.094,-55.37,16.971
-20.68,-60.75,10.102
-22.433,-67.793,6.2781
-12.751,-68.134,5.9334
-17.462,-56.553,-5.231
-23.029,-56.301,-9.6491
-15.539,-50.291,-1.7136
-9.4504,-60.898,0.69185
-5.3224,-71.736,2.9416
-18.748,-69.739,-8.1188
-10.284,-78.375,-3.8499
-15.303,-78.19,-14.52
-21.574,-26.526,-7.7168
-1.2446,-16.064,-9.7292
-11.168,-20.132,-7.4289
-17.095,-32.29,-3.8884
-15.17,-34.969,1.6394
-0.75028,-1.2168,6.1381
-0.74869,-8.3097,-1.4077
-0.74957,7.7066,13.01
-0.75073,-5.3927,15.555
-0.74979,-17.69,17.096
-3.0247,-30.294,1.5519
-9.5179,-39.598,5.119
-0.75164,-18.717,-2.4132
-0.75064,-23.75,9.1285
-0.75112,-32.922,18.972
-6.8185,-46.463,7.9572
-5.253,-44.77,16.625
-6.2285,-54.227,10.573
-37.277,7.5813,10.999
-36.683,2.1041,14.368
-39.262,3.9966,10.434
-34.865,1.5908,10.501
-38.201,-5.306,8.9602
